			GMRT Grid Version 3.4
Longitude	Latitude	Distance (km)	Elevation (m)
-160.19728	53.92154	200.59259	-3422.001
-160.20395	53.93381	202.02539	-3404.3223
-160.21063	53.946083	203.45819	-3380.5083
-160.21732	53.95835	204.89099	-3353.0134
-160.224	53.970623	206.32379	-3316.2852
-160.23068	53.982895	207.75659	-3210.596
-160.23738	53.995163	209.18939	-3094.5386
-160.24408	54.007435	210.6222	-2926.4731
-160.25078	54.019703	212.055	-2602.434
-160.25748	54.03197	213.4878	-2221.848
-160.26419	54.04424	214.9206	-2083.924
-160.2709	54.056507	216.3534	-2040.7473
-160.27762	54.068775	217.7862	-2034.1276
-160.28433	54.081043	219.219	-2075.9749
-160.29106	54.09331	220.6518	-2045.5365
-160.29779	54.105576	222.0846	-1874.0846
-160.30452	54.117844	223.5174	-1685.8812
-160.31126	54.130108	224.9502	-1576.2917
-160.318	54.142376	226.383	-1524.0331
-160.32474	54.15464	227.8158	-1516.0194
-160.3315	54.166904	229.2486	-1579.1018
-160.33824	54.17917	230.6814	-1647.2568
-160.345	54.191433	232.1142	-1681.8333
-160.35176	54.203697	233.547	-1124.0259
-160.35852	54.21596	234.9798	-584.363
-160.3653	54.22822	236.4126	-561.8319
-160.37207	54.240486	237.8454	-561.22955
-160.37885	54.252747	239.2782	-499.79276
-160.38562	54.265007	240.711	-430.178
-160.39241	54.27727	242.1438	-355.4141
-160.3992	54.28953	243.5766	-283.99658
-160.40599	54.301792	245.0094	-216.30835
-160.4128	54.314053	246.4422	-166.62108
-160.41959	54.326313	247.875	-134.98312
-160.42639	54.33857	249.3078	-122.22809
-160.4332	54.35083	250.7406	-121.118095
-160.44002	54.36309	252.1734	-123.25664
-160.44684	54.375347	253.6062	-125.11236
-160.45366	54.387604	255.039	-126.703926
-160.46048	54.399864	256.4718	-129.69844
-160.46732	54.41212	257.9046	-132.36647
-160.47414	54.424377	259.3374	-126.353966
-160.48099	54.436634	260.7702	-119.64406
-160.48782	54.448887	262.203	-123.38617
-160.49467	54.461143	263.6358	-138.61777
-160.50151	54.4734	265.0686	-143.27007
-160.50838	54.485653	266.5014	-130.81819
-160.51523	54.49791	267.9342	-111.35303
-160.5221	54.510162	269.367	-99.70448
-160.52896	54.522415	270.7998	-118.95883
-160.53583	54.534668	272.2326	-137.76187
-160.54271	54.54692	273.6654	-144.2858
-160.54958	54.559174	275.0982	-142.90446
-160.55646	54.571426	276.531	-139.14607
-160.56335	54.58368	277.9638	-135.2029
-160.57024	54.59593	279.3966	-131.36037
-160.57713	54.60818	280.8294	-127.83117
-160.58403	54.62043	282.2622	-123.67965
-160.59094	54.632683	283.695	-120.307816
-160.59785	54.64493	285.1278	-116.590195
-160.60477	54.65718	286.5606	-113.551956
-160.61168	54.66943	287.9934	-111.29141
-160.61859	54.68168	289.4262	-110.28853
-160.62552	54.693924	290.859	-109.36994
-160.63245	54.706173	292.2918	-108.96427
-160.63939	54.718422	293.7246	-109.222916
-160.64632	54.730667	295.1574	-109.070625
-160.65326	54.742916	296.5902	-108.442116
-160.6602	54.75516	298.023	-107.88444
-160.66716	54.767406	299.4558	-109.27718
-160.6741	54.77965	300.8886	-109.7508
-160.68106	54.791897	302.3214	-110.424324
-160.68803	54.804142	303.7542	-109.472855
-160.69499	54.816387	305.187	-104.271576
-160.70197	54.82863	306.6198	-96.53015
-160.70894	54.840874	308.0526	-83.62969
-160.71591	54.853115	309.4854	-71.43311
-160.7229	54.865356	310.9182	-65.20763
-160.72989	54.8776	312.351	-68.77362
-160.73688	54.889843	313.7838	-73.94152
-160.74388	54.902084	315.2166	-74.66317
-160.75089	54.914326	316.6494	-71.60447
-160.75789	54.926563	318.0822	-72.37606
-160.7649	54.938805	319.515	-84.26144
-160.77191	54.951046	320.9478	-93.69928
-160.77892	54.963284	322.3806	-97.68275
-160.78595	54.975525	323.81342	-94.98986
-160.79297	54.987762	325.24622	-87.7979
-160.8	55.0	326.67902	-84.59672
